Accession,Description,Coverage [%],# Peptides,# PSMs,# AAs,Abundances (Grouped): NASA Ftl 126,Abundances (Grouped): NASA Ftl 127N,Abundances (Grouped): NASA Ftl 127C,Abundances (Grouped): NASA Ftl 128N,Abundances (Grouped): NASA Ftl 128C,Abundances (Grouped): NASA Ftl 129N,Abundances (Grouped): NASA Ftl 129C,Abundances (Grouped): BA Pool Ftl 130N,Abundances (Grouped): Ftl Pool 130C,Abundances (Grouped): Pool Ftl 131,Abundances (Grouped): NASA GC 126,Abundances (Grouped): NASA GC 127N,Abundances (Grouped): NASA GC 127C,Abundances (Grouped): NASA GC 128N,Abundances (Grouped): NASA GC 128C,Abundances (Grouped): NASA GC 129N,Abundances (Grouped): NASA GC 129C,Abundances (Grouped): BA Pool GC 130N,Abundances (Grouped): GC Pool 130C,Abundances (Grouped): Pool GC 131
Q53EL6,Programmed cell death protein 4 OS=Homo sapiens OX=9606 GN=PDCD4 PE=1 SV=2,11,4,20,469,30.1,19.4,49.9,47.8,51.7,51.9,49.2,33.6,54.3,40.4,22.4,21.0,44.2,28.0,40.7,42.9,29.5,21.4,32.7,26.0
Q14254,Flotillin-2 OS=Homo sapiens OX=9606 GN=FLOT2 PE=1 SV=2,11,4,8,428,36.2,17.7,46.0,49.2,41.6,52.7,34.8,37.0,37.8,49.1,19.7,20.8,37.4,29.7,29.8,36.7,27.6,28.5,21.2,28.3
Q06830,Peroxiredoxin-1 OS=Homo sapiens OX=9606 GN=PRDX1 PE=1 SV=1,19,4,20,199,245.2,172.4,311.7,290.4,268.6,294.3,290.0,207.1,270.7,233.0,286.5,246.3,386.2,324.8,359.7,357.9,268.7,285.9,237.0,360.7
Q15435,Protein phosphatase 1 regulatory subunit 7 OS=Homo sapiens OX=9606 GN=PPP1R7 PE=1 SV=1,14,4,12,360,23.7,14.2,26.5,27.4,23.0,27.6,27.4,20.3,27.8,18.4,41.8,33.1,51.9,45.6,53.2,51.2,35.0,37.6,33.0,55.8
P17612,cAMP-dependent protein kinase catalytic subunit alpha OS=Homo sapiens OX=9606 GN=PRKACA PE=1 SV=2,5,2,5,351,59.0,32.8,50.2,73.4,57.5,72.6,67.7,64.5,59.8,70.3,34.9,27.8,39.2,28.4,28.2,29.2,49.9,27.8,24.3,47.6
P63010,AP-2 complex subunit beta OS=Homo sapiens OX=9606 GN=AP2B1 PE=1 SV=1,9,6,16,937,29.9,19.6,36.0,43.6,33.7,33.2,29.2,23.0,21.8,25.3,19.5,16.3,30.5,18.8,19.9,27.1,19.3,18.0,12.9,28.1
P10635,Cytochrome P450 2D6 OS=Homo sapiens OX=9606 GN=CYP2D6 PE=1 SV=2,4,2,5,497,14.1,8.2,9.5,22.1,10.9,17.7,17.8,9.5,11.2,14.6,,,,,,,,,,
Q15819,Ubiquitin-conjugating enzyme E2 variant 2 OS=Homo sapiens OX=9606 GN=UBE2V2 PE=1 SV=4,24,3,6,145,42.7,28.5,51.0,53.2,40.1,45.8,46.5,37.4,41.3,38.4,62.0,53.2,93.3,74.9,73.9,74.6,58.4,59.4,48.9,82.0
Q13492,Phosphatidylinositol-binding clathrin assembly protein OS=Homo sapiens OX=9606 GN=PICALM PE=1 SV=2,3,2,3,652,,,,,,,,,,,46.6,39.8,47.7,48.2,40.7,37.0,36.4,33.3,24.2,57.5
P07902,Galactose-1-phosphate uridylyltransferase OS=Homo sapiens OX=9606 GN=GALT PE=1 SV=3,19,4,11,379,43.8,30.2,45.1,54.6,41.1,63.8,57.9,39.7,54.7,46.9,25.7,18.7,27.2,37.7,29.6,43.3,24.2,31.4,24.3,31.6
P11177,"Pyruvate dehydrogenase E1 component subunit beta, mitochondrial OS=Homo sapiens OX=9606 GN=PDHB PE=1 SV=3",11,2,14,359,21.4,10.5,19.5,29.3,16.6,22.0,21.5,17.4,18.1,13.6,22.0,16.2,19.5,28.3,33.2,30.5,19.4,18.2,22.1,24.7
Q06210,Glutamine--fructose-6-phosphate aminotransferase [isomerizing] 1 OS=Homo sapiens OX=9606 GN=GFPT1 PE=1 SV=3,4,2,3,699,39.5,23.7,41.6,53.9,43.9,42.3,57.5,33.5,44.8,33.2,,,,,,,,,,
P55084,"Trifunctional enzyme subunit beta, mitochondrial OS=Homo sapiens OX=9606 GN=HADHB PE=1 SV=3",5,3,18,474,506.0,194.7,355.3,456.0,324.3,290.1,289.4,401.5,287.4,268.9,264.6,272.2,348.3,311.0,348.1,310.6,265.0,270.4,240.4,352.5
P68400,Casein kinase II subunit alpha OS=Homo sapiens OX=9606 GN=CSNK2A1 PE=1 SV=1,14,4,12,391,20.1,11.9,26.4,27.1,24.0,21.4,23.8,16.5,20.9,22.9,72.9,67.0,102.5,80.5,75.6,83.3,71.5,71.8,64.6,101.9
P46782,40S ribosomal protein S5 OS=Homo sapiens OX=9606 GN=RPS5 PE=1 SV=4,34,6,14,204,156.2,108.8,196.2,200.4,161.8,165.6,140.8,130.9,146.8,146.9,100.8,92.3,159.0,111.5,144.9,138.0,98.5,105.6,106.5,153.0
O00409,Forkhead box protein N3 OS=Homo sapiens OX=9606 GN=FOXN3 PE=1 SV=1,2,2,6,490,83.9,62.0,111.7,108.1,80.8,84.3,84.0,68.5,73.8,75.4,52.4,50.2,91.6,50.8,73.1,71.4,43.8,60.4,46.4,65.9
P46781,40S ribosomal protein S9 OS=Homo sapiens OX=9606 GN=RPS9 PE=1 SV=3,24,6,30,194,77.7,51.6,70.0,94.3,54.9,72.5,63.2,56.6,63.1,68.7,102.9,100.2,115.3,95.4,108.5,102.0,80.2,83.1,59.9,106.1
Q07955,Serine/arginine-rich splicing factor 1 OS=Homo sapiens OX=9606 GN=SRSF1 PE=1 SV=2,23,6,21,248,115.5,63.7,122.3,125.2,100.5,118.4,121.9,96.2,124.8,99.1,65.4,57.6,109.0,77.4,93.2,84.4,64.1,73.7,70.9,94.6
Q5VT66,Mitochondrial amidoxime-reducing component 1 OS=Homo sapiens OX=9606 GN=MTARC1 PE=1 SV=1,7,2,20,337,62.5,44.0,44.1,86.3,47.1,70.3,68.3,50.7,42.9,52.5,20.2,14.3,29.7,23.2,13.3,18.5,11.6,16.6,7.9,21.2
Q93088,Betaine--homocysteine S-methyltransferase 1 OS=Homo sapiens OX=9606 GN=BHMT PE=1 SV=2,23,7,114,406,424.1,205.4,328.0,311.7,376.1,338.5,416.2,274.3,265.2,289.3,355.0,340.2,396.0,433.0,464.4,359.9,453.0,305.7,256.2,452.4
O14979,Heterogeneous nuclear ribonucleoprotein D-like OS=Homo sapiens OX=9606 GN=HNRNPDL PE=1 SV=3,5,2,2,420,40.5,29.3,147.5,159.4,109.9,92.2,115.9,43.3,118.4,56.0,22.3,21.8,45.9,24.8,32.1,30.2,24.8,21.9,18.2,29.8
Q07960,Rho GTPase-activating protein 1 OS=Homo sapiens OX=9606 GN=ARHGAP1 PE=1 SV=1,8,2,4,439,50.1,33.8,60.7,64.7,50.9,60.4,63.4,39.7,52.8,46.5,,,,,,,,,,
Q92769,Histone deacetylase 2 OS=Homo sapiens OX=9606 GN=HDAC2 PE=1 SV=2,5,2,3,488,81.1,34.1,76.4,65.9,73.7,94.0,98.1,71.7,101.1,70.9,12.7,8.8,19.9,15.0,18.1,14.6,12.7,13.5,12.2,24.2
Q8N6H7,ADP-ribosylation factor GTPase-activating protein 2 OS=Homo sapiens OX=9606 GN=ARFGAP2 PE=1 SV=1,14,7,18,521,83.4,62.2,103.8,95.5,99.1,91.4,84.6,77.0,68.5,82.5,38.9,30.7,57.0,39.2,37.8,41.0,31.5,31.7,30.6,51.2
Q9NUP9,Protein lin-7 homolog C OS=Homo sapiens OX=9606 GN=LIN7C PE=1 SV=1,11,2,4,197,30.8,14.7,30.7,38.3,34.6,33.4,34.5,24.2,37.9,30.1,25.1,18.6,34.4,30.7,26.9,27.9,24.6,28.1,24.9,28.7
Q9BTZ2,Dehydrogenase/reductase SDR family member 4 OS=Homo sapiens OX=9606 GN=DHRS4 PE=1 SV=3,11,2,14,278,64.1,40.0,67.1,63.2,78.2,55.6,61.0,42.3,61.7,57.4,48.5,54.2,88.6,67.4,70.6,61.5,51.9,61.0,44.0,70.0
A8MWD9,Putative small nuclear ribonucleoprotein G-like protein 15 OS=Homo sapiens OX=9606 GN=SNRPGP15 PE=5 SV=2,17,2,5,76,21.2,17.2,26.5,29.9,22.5,23.6,25.3,14.2,20.9,19.2,24.9,24.3,41.8,30.0,34.0,28.0,21.1,28.5,18.7,30.1
P27105,Stomatin OS=Homo sapiens OX=9606 GN=STOM PE=1 SV=3,11,2,4,288,21.6,15.9,20.1,20.5,16.1,22.2,23.7,18.7,20.6,20.4,,,,,,,,,,
Q9H4A3,Serine/threonine-protein kinase WNK1 OS=Homo sapiens OX=9606 GN=WNK1 PE=1 SV=2,1,2,3,2382,18.0,10.6,20.8,26.5,21.1,22.7,22.2,18.4,20.4,19.1,20.9,25.5,38.5,22.0,27.8,27.7,23.0,26.2,17.2,30.2
Q9H6Z4,Ran-binding protein 3 OS=Homo sapiens OX=9606 GN=RANBP3 PE=1 SV=1,4,2,3,567,24.7,13.4,19.2,24.8,23.8,26.8,21.5,18.2,22.2,19.0,28.4,23.3,33.0,32.5,32.3,30.4,23.7,30.0,27.3,40.1
Q9P2R3,Rabankyrin-5 OS=Homo sapiens OX=9606 GN=ANKFY1 PE=1 SV=2,3,2,2,1169,33.8,14.1,43.3,46.2,35.7,41.6,37.3,29.1,36.5,30.3,28.9,21.7,34.9,31.5,35.0,35.1,23.7,26.4,25.2,40.5
Q16864,V-type proton ATPase subunit F OS=Homo sapiens OX=9606 GN=ATP6V1F PE=1 SV=2,32,3,5,119,53.2,35.3,72.4,69.7,65.2,68.6,51.2,50.7,65.5,55.3,85.4,86.8,156.9,108.9,127.9,148.6,88.9,101.0,98.3,136.6
Q9Y3C6,Peptidyl-prolyl cis-trans isomerase-like 1 OS=Homo sapiens OX=9606 GN=PPIL1 PE=1 SV=1,19,3,5,166,15.9,9.7,19.3,26.5,24.3,21.0,20.1,15.7,23.9,19.9,22.7,22.7,39.7,28.8,27.7,28.5,24.2,24.4,19.9,29.5
Q9BSH4,Translational activator of cytochrome c oxidase 1 OS=Homo sapiens OX=9606 GN=TACO1 PE=1 SV=1,7,2,10,297,58.8,31.0,56.9,76.1,46.7,62.2,55.3,48.9,49.7,61.5,73.2,62.5,104.1,102.6,55.3,79.8,83.4,94.9,38.7,112.9
P52849,Bifunctional heparan sulfate N-deacetylase/N-sulfotransferase 2 OS=Homo sapiens OX=9606 GN=NDST2 PE=1 SV=1,1,2,5,883,48.3,28.3,41.8,54.9,42.5,50.4,41.8,39.9,40.1,49.3,31.9,27.0,50.1,30.6,32.3,37.7,31.5,36.7,26.7,43.2
O43491,Band 4.1-like protein 2 OS=Homo sapiens OX=9606 GN=EPB41L2 PE=1 SV=1,3,3,9,1005,,,,,,,,,,,23.1,17.9,32.7,21.1,30.8,30.0,22.5,20.4,19.8,25.9
Q16740,"ATP-dependent Clp protease proteolytic subunit, mitochondrial OS=Homo sapiens OX=9606 GN=CLPP PE=1 SV=1",9,3,12,277,21.1,17.3,23.1,31.1,27.4,22.6,28.1,19.7,21.7,28.7,78.1,68.4,93.0,77.1,78.2,75.1,55.2,75.8,56.2,103.7
P23378,"Glycine dehydrogenase (decarboxylating), mitochondrial OS=Homo sapiens OX=9606 GN=GLDC PE=1 SV=2",6,4,8,1020,74.2,51.5,64.8,92.4,90.6,71.3,78.4,60.2,73.3,56.2,28.4,37.7,51.2,47.7,45.0,35.6,25.7,39.0,27.8,44.7
P09455,Retinol-binding protein 1 OS=Homo sapiens OX=9606 GN=RBP1 PE=1 SV=2,36,4,9,135,60.1,44.2,84.9,87.6,43.6,70.9,75.0,44.6,56.0,54.9,74.5,41.7,168.0,53.7,91.7,96.8,47.5,66.4,48.9,85.4
Q969V3,BOS complex subunit NCLN OS=Homo sapiens OX=9606 GN=NCLN PE=1 SV=2,6,3,4,563,49.8,21.9,22.9,66.6,27.9,43.6,35.2,31.9,27.7,33.8,36.0,28.3,71.7,37.8,47.1,47.1,34.3,30.0,28.0,35.3
P54577,"Tyrosine--tRNA ligase, cytoplasmic OS=Homo sapiens OX=9606 GN=YARS1 PE=1 SV=4",7,4,6,528,80.3,53.8,75.6,98.3,71.9,71.7,73.3,56.0,54.2,60.9,123.3,108.2,160.3,129.1,127.7,140.0,115.8,125.6,114.0,163.4
Q92625,Ankyrin repeat and SAM domain-containing protein 1A OS=Homo sapiens OX=9606 GN=ANKS1A PE=1 SV=4,1,2,14,1134,249.5,211.1,206.1,260.6,206.6,261.9,299.2,247.2,216.5,237.6,38.6,31.3,35.6,35.8,31.4,33.8,32.6,31.6,22.3,45.6
O60493,Sorting nexin-3 OS=Homo sapiens OX=9606 GN=SNX3 PE=1 SV=3,17,2,7,162,25.7,16.0,34.0,30.1,30.5,38.8,28.8,18.5,31.5,26.4,159.2,167.3,210.1,189.4,196.2,187.3,138.4,147.1,131.1,208.2
Q9BS26,Endoplasmic reticulum resident protein 44 OS=Homo sapiens OX=9606 GN=ERP44 PE=1 SV=1,3,2,11,406,109.9,46.0,61.5,73.8,77.4,98.4,84.4,70.3,74.7,91.5,104.0,82.6,134.0,97.7,95.7,88.6,68.3,81.6,65.0,108.9
Q66K14,TBC1 domain family member 9B OS=Homo sapiens OX=9606 GN=TBC1D9B PE=1 SV=3,2,2,4,1250,22.2,13.7,20.3,26.4,21.7,27.5,23.7,17.9,26.9,32.2,,,,,,,,,,
P23526,Adenosylhomocysteinase OS=Homo sapiens OX=9606 GN=AHCY PE=1 SV=4,11,5,74,432,152.6,86.1,130.2,152.4,159.8,152.7,145.3,122.5,119.7,130.2,99.9,104.6,131.9,128.6,117.5,100.1,98.9,96.3,70.1,121.8
Q15773,Myeloid leukemia factor 2 OS=Homo sapiens OX=9606 GN=MLF2 PE=1 SV=1,12,2,3,248,75.0,34.3,86.3,68.5,67.6,73.9,70.6,56.8,59.6,47.9,34.2,28.6,50.3,29.9,33.8,32.0,30.6,28.4,19.3,40.8
Q9UDR5,"Alpha-aminoadipic semialdehyde synthase, mitochondrial OS=Homo sapiens OX=9606 GN=AASS PE=1 SV=1",8,7,24,926,187.6,104.8,172.5,205.6,157.1,190.9,165.1,146.7,147.9,162.5,85.1,81.2,139.8,110.4,116.7,99.4,72.1,85.7,72.6,132.5
Q7L576,Cytoplasmic FMR1-interacting protein 1 OS=Homo sapiens OX=9606 GN=CYFIP1 PE=1 SV=1,5,5,8,1253,65.2,40.9,73.2,72.3,64.6,66.8,76.6,54.4,53.4,53.0,54.9,63.3,125.9,77.0,84.6,84.9,65.4,65.0,64.7,88.0
Q8NEZ4,Histone-lysine N-methyltransferase 2C OS=Homo sapiens OX=9606 GN=KMT2C PE=1 SV=3,0,2,27,4911,24.9,16.5,33.0,42.1,30.8,35.3,31.3,21.0,30.6,24.8,90.6,93.0,133.4,106.8,112.5,110.0,68.4,88.1,72.4,134.3
Q14142,Tripartite motif-containing protein 14 OS=Homo sapiens OX=9606 GN=TRIM14 PE=1 SV=2,3,2,2,442,64.0,35.3,66.4,66.2,60.0,59.6,48.3,44.6,65.0,50.9,,,,,,,,,,
O60826,Coiled-coil domain-containing protein 22 OS=Homo sapiens OX=9606 GN=CCDC22 PE=1 SV=1,3,2,3,627,31.7,17.4,34.8,26.6,26.2,29.8,25.5,24.7,22.0,30.2,32.4,31.5,46.1,32.6,36.8,31.6,32.7,30.5,24.9,36.9
P21953,"2-oxoisovalerate dehydrogenase subunit beta, mitochondrial OS=Homo sapiens OX=9606 GN=BCKDHB PE=1 SV=2",6,2,8,392,21.7,10.5,15.8,19.0,15.1,23.1,21.9,14.4,19.5,19.0,17.9,17.0,16.8,16.8,21.4,18.5,13.2,14.1,12.9,20.2
P31930,"Cytochrome b-c1 complex subunit 1, mitochondrial OS=Homo sapiens OX=9606 GN=UQCRC1 PE=1 SV=3",11,6,37,480,71.3,41.1,65.0,70.1,65.8,77.1,74.5,65.0,65.0,70.0,91.3,86.1,129.5,105.3,122.0,109.8,72.7,87.0,81.9,112.6
P48637,Glutathione synthetase OS=Homo sapiens OX=9606 GN=GSS PE=1 SV=1,8,3,9,474,14.6,12.4,21.0,21.1,19.7,18.1,16.9,14.7,16.5,17.9,24.7,19.8,24.7,32.3,29.1,21.8,23.0,21.1,20.7,27.6
O14602,"Eukaryotic translation initiation factor 1A, Y-chromosomal OS=Homo sapiens OX=9606 GN=EIF1AY PE=1 SV=4",15,2,4,144,38.6,24.5,49.7,54.3,45.4,48.2,45.9,28.7,41.9,35.6,52.2,49.3,89.7,60.5,80.1,74.4,52.7,63.6,43.8,76.7
P24666,Low molecular weight phosphotyrosine protein phosphatase OS=Homo sapiens OX=9606 GN=ACP1 PE=1 SV=3,17,2,5,158,,,,,,,,,,,94.9,102.1,132.1,132.4,125.5,146.3,118.5,102.1,83.9,132.2
P14868,"Aspartate--tRNA ligase, cytoplasmic OS=Homo sapiens OX=9606 GN=DARS1 PE=1 SV=2",21,11,26,501,160.6,96.7,151.9,151.5,141.5,156.4,121.3,128.9,123.1,139.9,204.8,177.3,249.7,189.3,200.9,183.4,156.6,182.0,146.5,257.1
Q9NUT2,Mitochondrial potassium channel ATP-binding subunit OS=Homo sapiens OX=9606 GN=ABCB8 PE=1 SV=3,2,2,8,735,10.3,8.8,8.0,14.9,6.9,13.8,11.6,10.0,6.3,11.9,170.9,154.0,348.3,215.5,179.7,208.8,181.7,183.0,116.7,214.1
P13686,Tartrate-resistant acid phosphatase type 5 OS=Homo sapiens OX=9606 GN=ACP5 PE=1 SV=3,10,2,9,325,57.1,42.5,66.4,65.0,54.5,60.0,55.8,42.8,64.4,52.3,40.9,31.9,52.4,45.9,44.8,47.6,34.5,32.7,36.2,50.0
Q9H4A4,Aminopeptidase B OS=Homo sapiens OX=9606 GN=RNPEP PE=1 SV=2,3,2,2,650,,,,,,,,,,,20.0,19.9,23.3,20.7,18.6,23.7,22.2,19.0,12.8,34.5
P62140,Serine/threonine-protein phosphatase PP1-beta catalytic subunit OS=Homo sapiens OX=9606 GN=PPP1CB PE=1 SV=3,17,5,15,327,10.7,10.8,10.3,21.3,13.7,13.5,11.7,8.7,10.1,9.8,36.4,28.8,47.3,30.9,24.6,38.3,66.5,43.2,26.7,46.1
P49790,Nuclear pore complex protein Nup153 OS=Homo sapiens OX=9606 GN=NUP153 PE=1 SV=2,2,3,6,1475,32.9,17.7,56.1,60.8,44.5,53.7,58.1,39.2,51.8,39.5,25.9,20.5,36.7,23.1,24.6,26.8,23.3,22.6,19.6,30.3
P48047,"ATP synthase subunit O, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5PO PE=1 SV=1",12,2,7,213,46.9,29.2,48.1,53.7,39.0,48.4,48.6,40.3,45.7,45.9,60.1,65.2,86.3,70.3,80.0,74.4,67.2,59.4,53.8,83.6
P06748,Nucleophosmin OS=Homo sapiens OX=9606 GN=NPM1 PE=1 SV=2,16,3,12,294,62.8,44.9,103.1,106.1,89.8,83.0,75.6,68.5,78.0,70.0,24.3,33.0,50.1,30.6,38.6,39.1,26.9,31.6,22.9,35.2
Q5H9R7,Serine/threonine-protein phosphatase 6 regulatory subunit 3 OS=Homo sapiens OX=9606 GN=PPP6R3 PE=1 SV=2,5,4,8,873,70.5,51.5,71.6,88.2,56.4,71.3,69.8,52.9,45.3,48.7,45.9,46.6,58.3,50.0,54.5,56.9,38.9,47.0,33.9,59.7
P61586,Transforming protein RhoA OS=Homo sapiens OX=9606 GN=RHOA PE=1 SV=1,20,3,22,193,14.6,7.9,15.6,19.1,12.4,17.3,20.1,9.3,11.9,8.7,9.3,8.8,12.8,14.1,15.3,10.1,9.5,13.6,4.3,11.3
Q00610,Clathrin heavy chain 1 OS=Homo sapiens OX=9606 GN=CLTC PE=1 SV=5,23,29,171,1675,285.5,179.2,425.3,411.3,333.0,346.2,361.7,250.3,303.9,281.7,291.0,282.0,532.7,338.3,407.9,402.0,317.8,325.8,260.6,423.1
O95373,Importin-7 OS=Homo sapiens OX=9606 GN=IPO7 PE=1 SV=1,7,6,13,1038,21.8,16.5,20.1,28.0,25.3,23.7,22.8,20.4,21.8,22.8,23.6,16.7,37.7,25.8,32.8,25.6,22.5,26.6,19.0,28.5
Q96CN7,Isochorismatase domain-containing protein 1 OS=Homo sapiens OX=9606 GN=ISOC1 PE=1 SV=3,17,4,10,298,163.3,104.2,156.3,186.2,170.2,168.1,168.9,138.8,151.4,162.8,125.6,111.9,163.8,127.0,139.8,134.7,111.3,122.1,95.0,154.4
Q96IV0,Peptide-N(4)-(N-acetyl-beta-glucosaminyl)asparagine amidase OS=Homo sapiens OX=9606 GN=NGLY1 PE=1 SV=1,5,4,9,654,101.6,62.4,88.3,87.7,88.3,87.2,99.5,82.8,76.8,72.3,70.8,71.1,107.9,76.0,96.7,83.6,71.5,75.0,65.4,106.4
P41252,"Isoleucine--tRNA ligase, cytoplasmic OS=Homo sapiens OX=9606 GN=IARS1 PE=1 SV=2",2,3,8,1262,55.4,22.7,69.3,49.1,56.0,63.9,68.4,43.5,56.6,42.8,47.8,41.0,65.1,53.9,60.8,65.8,56.9,56.0,40.5,76.4
O14981,TATA-binding protein-associated factor 172 OS=Homo sapiens OX=9606 GN=BTAF1 PE=1 SV=2,1,2,2,1849,,,,,,,,,,,5.6,11.9,13.6,10.4,14.6,13.5,9.8,10.1,11.8,15.5
Q9BYD1,"39S ribosomal protein L13, mitochondrial OS=Homo sapiens OX=9606 GN=MRPL13 PE=1 SV=1",11,2,3,178,37.0,25.4,30.6,40.2,29.1,37.7,32.3,28.9,29.6,35.3,95.3,69.6,85.9,96.7,78.3,62.4,83.9,73.5,52.9,102.1
P46020,"Phosphorylase b kinase regulatory subunit alpha, skeletal muscle isoform OS=Homo sapiens OX=9606 GN=PHKA1 PE=1 SV=2",2,2,7,1223,27.7,19.5,31.7,26.1,27.7,24.9,35.7,24.7,27.0,24.8,,,,,,,,,,
P30038,"Delta-1-pyrroline-5-carboxylate dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=ALDH4A1 PE=1 SV=3",7,4,21,563,98.7,58.8,94.2,107.2,96.5,106.8,96.6,82.7,91.4,99.5,157.7,148.1,180.6,189.3,193.0,185.8,121.2,151.2,137.6,204.4
Q86X76,Deaminated glutathione amidase OS=Homo sapiens OX=9606 GN=NIT1 PE=1 SV=2,18,4,17,327,130.6,56.7,105.9,91.3,114.6,116.6,122.7,79.0,122.2,88.1,50.6,45.2,43.9,43.0,51.2,51.7,37.9,30.8,50.0,57.0
O60296,Trafficking kinesin-binding protein 2 OS=Homo sapiens OX=9606 GN=TRAK2 PE=1 SV=2,2,2,7,914,128.4,81.4,186.5,228.7,161.3,157.3,161.0,119.9,135.1,139.3,91.8,87.8,169.1,108.9,130.2,144.6,105.0,113.3,95.2,159.7
Q6P2Q9,Pre-mRNA-processing-splicing factor 8 OS=Homo sapiens OX=9606 GN=PRPF8 PE=1 SV=2,6,12,21,2335,36.1,23.5,41.7,53.7,38.6,41.1,42.1,34.3,35.5,37.2,28.6,26.4,57.4,38.4,39.6,40.5,34.3,36.4,34.3,54.0
O14975,Long-chain fatty acid transport protein 2 OS=Homo sapiens OX=9606 GN=SLC27A2 PE=1 SV=2,6,4,13,620,84.1,50.5,40.8,139.4,59.1,69.0,62.8,59.4,42.6,52.1,65.0,70.2,170.5,99.2,81.6,80.3,49.4,73.9,41.3,92.4
O75494,Serine/arginine-rich splicing factor 10 OS=Homo sapiens OX=9606 GN=SRSF10 PE=1 SV=1,15,3,6,262,33.1,23.2,34.6,41.3,40.9,33.9,32.3,29.3,33.1,34.8,14.2,17.1,25.9,15.4,20.7,20.3,14.9,16.6,15.3,20.5
Q13616,Cullin-1 OS=Homo sapiens OX=9606 GN=CUL1 PE=1 SV=2,4,3,7,776,50.1,31.3,51.7,67.7,49.2,48.8,55.9,43.3,43.2,46.3,66.1,54.9,75.4,72.7,54.6,61.3,53.3,60.6,32.4,73.5
O60739,Eukaryotic translation initiation factor 1b OS=Homo sapiens OX=9606 GN=EIF1B PE=1 SV=2,35,2,15,113,28.3,23.3,33.5,47.2,30.5,32.6,23.5,25.1,23.6,26.0,22.7,15.8,39.5,21.9,33.1,24.1,25.3,26.8,19.7,30.5
O00567,Nucleolar protein 56 OS=Homo sapiens OX=9606 GN=NOP56 PE=1 SV=4,6,3,4,594,204.7,132.4,150.6,276.9,146.1,246.1,234.6,160.2,155.5,176.5,11.8,12.5,25.5,13.6,12.9,12.8,8.0,11.2,10.0,16.0
Q8WXG9,Adhesion G-protein coupled receptor V1 OS=Homo sapiens OX=9606 GN=ADGRV1 PE=1 SV=2,0,2,2,6306,79.4,52.2,98.7,122.0,93.9,95.2,90.5,75.7,95.4,84.7,,,,,,,,,,
Q02790,Peptidyl-prolyl cis-trans isomerase FKBP4 OS=Homo sapiens OX=9606 GN=FKBP4 PE=1 SV=3,4,2,4,459,113.4,77.4,157.3,151.3,142.1,123.1,132.3,108.7,98.3,111.8,103.3,90.3,138.8,98.4,112.3,97.8,82.8,87.5,78.6,130.4
P21439,Phosphatidylcholine translocator ABCB4 OS=Homo sapiens OX=9606 GN=ABCB4 PE=1 SV=2,6,8,9,1286,32.1,10.5,27.7,42.5,35.5,32.9,29.8,26.7,20.2,23.8,24.0,31.6,57.7,46.2,69.5,55.5,919.3,127.7,68.3,182.0
Q92506,(3R)-3-hydroxyacyl-CoA dehydrogenase OS=Homo sapiens OX=9606 GN=HSD17B8 PE=1 SV=2,10,2,7,261,213.8,124.6,202.7,220.7,218.9,192.7,212.4,165.7,211.8,177.5,74.0,63.4,78.3,83.3,89.3,80.9,60.2,72.3,65.5,95.8
P48506,Glutamate--cysteine ligase catalytic subunit OS=Homo sapiens OX=9606 GN=GCLC PE=1 SV=2,10,5,18,637,97.9,55.3,72.8,98.5,87.9,105.0,98.5,80.4,98.5,87.0,95.0,80.7,154.4,118.9,116.8,143.6,85.4,111.5,86.5,130.8
P83111,"Serine beta-lactamase-like protein LACTB, mitochondrial OS=Homo sapiens OX=9606 GN=LACTB PE=1 SV=2",12,5,22,547,57.7,39.8,55.6,73.3,62.2,68.4,60.4,50.7,52.8,57.8,117.1,114.9,169.6,128.9,138.1,119.9,108.1,115.1,77.6,145.3
Q9Y6B6,GTP-binding protein SAR1b OS=Homo sapiens OX=9606 GN=SAR1B PE=1 SV=1,20,3,26,198,83.3,42.4,70.4,84.9,84.5,92.4,100.1,57.7,65.8,59.8,56.9,54.7,72.1,62.4,66.0,60.5,62.8,47.2,37.0,68.7
Q9NZB2,Constitutive coactivator of PPAR-gamma-like protein 1 OS=Homo sapiens OX=9606 GN=FAM120A PE=1 SV=2,4,4,8,1118,132.4,85.4,134.2,180.0,119.8,145.0,158.8,125.9,99.2,107.9,38.3,35.5,52.9,38.6,48.2,47.5,36.4,36.3,36.9,46.6
Q969M7,NEDD8-conjugating enzyme UBE2F OS=Homo sapiens OX=9606 GN=UBE2F PE=1 SV=1,17,2,2,185,28.4,16.2,26.8,31.6,28.0,27.6,27.6,23.4,25.1,26.9,,,,,,,,,,
Q15417,Calponin-3 OS=Homo sapiens OX=9606 GN=CNN3 PE=1 SV=1,11,3,8,329,76.0,40.6,67.6,88.5,73.0,71.4,84.1,54.3,73.8,67.6,83.1,76.0,127.5,100.9,103.4,94.5,76.8,86.2,77.9,102.6
O00748,Cocaine esterase OS=Homo sapiens OX=9606 GN=CES2 PE=1 SV=1,4,2,5,559,188.7,138.9,167.5,223.4,151.4,188.4,188.9,159.5,139.0,154.0,73.8,69.4,54.3,67.9,58.0,57.7,38.4,62.0,37.3,65.5
