Abundances (Grouped): NASA Ftl 126,Abundances (Grouped): NASA Ftl 127N,Abundances (Grouped): NASA Ftl 127C,Abundances (Grouped): NASA Ftl 128N,Abundances (Grouped): NASA Ftl 128C,Abundances (Grouped): NASA Ftl 129N,Abundances (Grouped): NASA Ftl 129C,Abundances (Grouped): BA Pool Ftl 130N,Abundances (Grouped): Ftl Pool 130C,Abundances (Grouped): Pool Ftl 131,Abundances (Grouped): NASA GC 126,Abundances (Grouped): NASA GC 127N,Abundances (Grouped): NASA GC 127C,Abundances (Grouped): NASA GC 128N,Abundances (Grouped): NASA GC 128C,Abundances (Grouped): NASA GC 129N,Abundances (Grouped): NASA GC 129C,Abundances (Grouped): BA Pool GC 130N,Abundances (Grouped): GC Pool 130C,Abundances (Grouped): Pool GC 131,mouse_accession,Description,Coverage [%]
246.7,148.1,263.5,258,229.8,265.9,256.8,207.9,237,224.5,364.5,332.6,402.1,365.3,398.3,384.7,275.2,328.9,275.7,430,P28271,Cytoplasmic aconitate hydratase OS=Mus musculus OX=10090 GN=Aco1 PE=1 SV=3,34
134.7,115.7,163.2,217.7,143.5,134.8,117.6,119.4,117.2,117.9,22.4,14.7,28,18.6,22.1,24.3,21.2,15.3,14.5,34.6,Q61191,Host cell factor 1 OS=Mus musculus OX=10090 GN=Hcfc1 PE=1 SV=2,2
14.9,10.7,21,21.7,18.6,21.5,21.5,12.1,20.4,16.3,,,,,,,,,,,Q9Z1X4,Interleukin enhancer-binding factor 3 OS=Mus musculus OX=10090 GN=Ilf3 PE=1 SV=2,4
,,,,,,,,,,94.8,98.8,179.3,137.8,137.9,152.3,110.2,110.7,103.1,166.2,Q9QX47,Protein SON OS=Mus musculus OX=10090 GN=Son PE=1 SV=2,2
24.8,16,26.8,26.7,24.3,26.8,18.3,22.3,21.9,27.4,,,,,,,,,,,Q9R0X4,"Acyl-coenzyme A thioesterase 9, mitochondrial OS=Mus musculus OX=10090 GN=Acot9 PE=1 SV=1",6
51.5,27.4,61.6,54.8,48.2,58.2,57.8,46.4,49.6,54.2,54.5,50.5,81.6,57.4,59.5,62.3,44.5,55.8,39.4,81.6,O08808,Protein diaphanous homolog 1 OS=Mus musculus OX=10090 GN=Diaph1 PE=1 SV=1,9
,,,,,,,,,,90.8,73.8,118,94,94.7,104.3,108.3,92.2,76,118.4,Q6ZQ88,Lysine-specific histone demethylase 1A OS=Mus musculus OX=10090 GN=Kdm1a PE=1 SV=2,3
290.7,168.4,186.3,244.4,215.4,242.6,238.8,200.9,210,225.4,122.7,121.3,116,145.1,145.7,150.1,120.9,123.2,86.8,160.6,Q60936,"Atypical kinase COQ8A, mitochondrial OS=Mus musculus OX=10090 GN=Coq8a PE=1 SV=2",19
47,25.6,62.8,44.5,42.3,59.7,58.9,42,44.3,45.8,92.1,90,119.2,93.1,99,105.5,78.7,97.1,73.1,118.5,O35593,26S proteasome non-ATPase regulatory subunit 14 OS=Mus musculus OX=10090 GN=Psmd14 PE=1 SV=2,14
11.7,28.4,16.8,59.5,21.7,22.9,119.7,26.2,29.6,40.6,146,23.7,84.8,29.9,46.1,50,56.4,53.8,35.9,64.7,O08638,Myosin-11 OS=Mus musculus OX=10090 GN=Myh11 PE=1 SV=1,10
94.5,61.3,139.9,121.2,110.3,110.4,127.2,86,107.7,94.2,120.1,81.7,190.1,127.9,131.5,130.2,89.5,116.7,79.3,125.7,Q60605,Myosin light polypeptide 6 OS=Mus musculus OX=10090 GN=Myl6 PE=1 SV=3,29
40.3,21.3,47.1,49.9,48.4,48.9,52.2,40.8,41.8,35.7,39.1,35.7,59.4,46.4,47.2,62.3,68.7,47.8,42.7,67.9,O35737,Heterogeneous nuclear ribonucleoprotein H OS=Mus musculus OX=10090 GN=Hnrnph1 PE=1 SV=3,22
130.9,90.1,154.8,179.3,136.3,141.7,139,113.7,140.7,145.6,230.7,192,282.9,237.8,267.8,236.6,206.7,232.2,199.8,286.9,Q9DBF1,Alpha-aminoadipic semialdehyde dehydrogenase OS=Mus musculus OX=10090 GN=Aldh7a1 PE=1 SV=4,31
15.4,6.7,10.2,18.9,14.8,15.8,13.5,11.4,10.4,13.7,40,51.1,177.8,75.1,83.2,84.6,45.9,63.4,34.9,75.6,Q8VCR2,17-beta-hydroxysteroid dehydrogenase 13 OS=Mus musculus OX=10090 GN=Hsd17b13 PE=1 SV=2,17
73.2,43.5,75.7,97.9,64.5,82.7,78.1,59.8,60.7,55.4,76,81.6,80.7,85.2,78.4,77.5,58.9,66.4,57.2,94.2,P61255,60S ribosomal protein L26 OS=Mus musculus OX=10090 GN=Rpl26 PE=1 SV=1,17
174.5,114,111.8,236.1,112.1,171.1,146.5,119.9,105.1,143.3,109.1,90.1,180,136.7,115.5,108.5,50,105.8,56.3,120.4,Q9D6M3,Mitochondrial glutamate carrier 1 OS=Mus musculus OX=10090 GN=Slc25a22 PE=1 SV=1,18
100.4,51.2,70.3,71.5,80,97,89.6,76.9,79.7,81.5,48,39.1,36.6,33.2,37.5,41.8,32.1,37.9,38.7,60.3,P97429,Annexin A4 OS=Mus musculus OX=10090 GN=Anxa4 PE=1 SV=4,27
36.5,19.4,47.9,42.9,46.3,41.4,44.1,37.4,47.3,37.6,28.7,23.5,37.5,28.1,34.3,24.1,30.1,19.3,20.1,34.9,Q9Z1R2,Large proline-rich protein BAG6 OS=Mus musculus OX=10090 GN=Bag6 PE=1 SV=1,5
8.6,4.9,6.1,7,11,13.3,9.5,28.2,12.9,21,3.4,10,5.7,5.4,8.5,16.9,82.6,20.4,10,24.3,Q5XKE0,"Myosin-binding protein C, fast-type OS=Mus musculus OX=10090 GN=Mybpc2 PE=1 SV=1",6
46.8,10.3,54.6,29.5,51.8,55.8,59.6,34.4,60.4,44,36.2,24.1,56.6,35.3,40.9,40.9,30.3,39.9,29.9,47.7,Q9DBZ5,Eukaryotic translation initiation factor 3 subunit K OS=Mus musculus OX=10090 GN=Eif3k PE=1 SV=1,13
12.3,2.9,13.1,13.2,14.5,10.7,11.8,6.9,10.5,12.2,11.2,12.7,27,15.4,16.4,20.6,12.4,16.2,15.5,25.1,Q91WR3,Activating signal cointegrator 1 complex subunit 2 OS=Mus musculus OX=10090 GN=Ascc2 PE=1 SV=1,5
158.7,102.2,182.9,179.4,162.3,151.2,141.1,121.4,126.4,124.6,56.1,58,69,78.6,75.6,79,56.7,65.4,52.4,84.2,P27659,60S ribosomal protein L3 OS=Mus musculus OX=10090 GN=Rpl3 PE=1 SV=3,7
14.8,13.3,17.2,22.7,11.2,21.7,16.9,15.7,13.1,16.4,11.5,8.9,11.4,10.1,11.6,11.2,7.8,9.7,9.7,11.7,Q9EQP2,EH domain-containing protein 4 OS=Mus musculus OX=10090 GN=Ehd4 PE=1 SV=1,6
85.7,45.6,100.5,103.7,86.8,101.5,78.9,71.3,86.6,80.6,51.4,41.3,96.7,78.9,66.2,85.4,92.6,78.4,52.7,84,Q99JB8,Protein kinase C and casein kinase II substrate protein 3 OS=Mus musculus OX=10090 GN=Pacsin3 PE=1 SV=1,35
17.3,10,17.6,17.9,16.4,14.7,17.1,16,16.5,13.4,11.1,11.4,15.8,12.2,16.3,11.9,12.4,10.4,11.3,15.3,Q8CBY8,Dynactin subunit 4 OS=Mus musculus OX=10090 GN=Dctn4 PE=1 SV=1,9
264.9,162.1,184.1,355.4,185.7,264.5,274.7,208.9,188.7,221.4,71.7,75.6,106.3,99.6,81.8,80.8,55.2,82.8,47.2,100.5,Q8JZU2,"Tricarboxylate transport protein, mitochondrial OS=Mus musculus OX=10090 GN=Slc25a1 PE=1 SV=1",17
33.2,18.1,37.7,28.1,29,33.9,29.4,25.2,32.6,32.1,65,53.1,71.8,85.4,71.5,82.6,71.3,59.9,73.8,88.4,Q3U0B3,Dehydrogenase/reductase SDR family member 11 OS=Mus musculus OX=10090 GN=Dhrs11 PE=1 SV=1,27
125,75.7,124.9,140.2,103.8,118.6,109.4,98.2,104.2,103.4,70.2,65.4,87.8,78.7,87,74.6,47.4,67.1,57.7,87.7,Q9D0Q7,"39S ribosomal protein L45, mitochondrial OS=Mus musculus OX=10090 GN=Mrpl45 PE=1 SV=1",11
27.1,16.7,30.5,33,29.2,28.1,29.2,22.4,28,22.3,28.1,27.3,55.3,34.5,39.7,44.4,30.1,33.6,29.5,51.2,Q9R190,Metastasis-associated protein MTA2 OS=Mus musculus OX=10090 GN=Mta2 PE=1 SV=1,9
27.8,17.1,34.5,30.2,27.4,27,30.6,24.7,28.7,29.7,16.8,17.1,24.5,16.3,21,22.9,32.7,18.4,15.9,21.2,Q8BJW6,Eukaryotic translation initiation factor 2A OS=Mus musculus OX=10090 GN=Eif2a PE=1 SV=2,10
52.3,34.7,62.8,66.8,49,63.8,54.4,51.8,60,63.4,70,69.7,88.8,80.2,90.5,95.8,95.2,73.2,62.4,89.3,Q8CHP8,Glycerol-3-phosphate phosphatase OS=Mus musculus OX=10090 GN=Pgp PE=1 SV=1,22
15.9,11.5,20,19.7,17.4,18.1,15.6,13.7,14.4,12.3,14.7,14.6,26.1,18.3,14.4,15.4,14.1,15,9.8,23.9,Q8K297,Procollagen galactosyltransferase 1 OS=Mus musculus OX=10090 GN=Colgalt1 PE=1 SV=2,6
22.1,11.9,7.2,27,14,27.6,21.4,14.7,16.5,17.1,11.8,13.3,20,14,12,13.9,51.5,20.9,10.8,17.2,Q9CPQ3,Mitochondrial import receptor subunit TOM22 homolog OS=Mus musculus OX=10090 GN=Tomm22 PE=1 SV=3,16
77.7,51.6,70,94.3,54.9,72.5,63.2,56.6,63.1,68.7,104.2,100.2,115.3,95.4,108.5,102,80.2,83.1,59.9,106.1,Q6ZWN5,40S ribosomal protein S9 OS=Mus musculus OX=10090 GN=Rps9 PE=1 SV=3,24
115.5,63.7,122.3,125.2,100.5,118.4,121.9,96.2,124.8,99.1,65.4,57.6,109,77.4,93.2,84.4,64.1,73.7,70.9,94.6,Q6PDM2,Serine/arginine-rich splicing factor 1 OS=Mus musculus OX=10090 GN=Srsf1 PE=1 SV=3,23
9.9,6.3,14,16.1,10,10.1,8.7,9.4,7.2,9,,,,,,,,,,,Q8BX80,Cytosolic endo-beta-N-acetylglucosaminidase OS=Mus musculus OX=10090 GN=Engase PE=1 SV=1,5
42.3,26.8,21.4,35.8,26.9,34.8,33.2,25.7,23.4,27.5,16.9,19.8,31.6,20.1,19.4,20.7,12.4,15.8,10.9,33.9,Q8BGX2,Mitochondrial import inner membrane translocase subunit Tim29 OS=Mus musculus OX=10090 GN=Timm29 PE=1 SV=1,13
16,13,15.9,18,20.7,19.8,18.7,17.8,18.1,15.4,15.2,10.3,13.3,8.8,9.3,10.2,6.7,8.6,7.3,17.5,Q8BWG8,Beta-arrestin-1 OS=Mus musculus OX=10090 GN=Arrb1 PE=1 SV=1,6
201.6,125.6,177.6,198.1,175.2,189.2,200.8,147.8,152.4,150.7,143,138,172,154.5,162.6,154.2,149.6,133.1,111.4,204.2,P08249,"Malate dehydrogenase, mitochondrial OS=Mus musculus OX=10090 GN=Mdh2 PE=1 SV=3",28
56.1,32.8,31.9,74.1,57.2,79.4,52.5,56.6,39.8,56.8,20.9,25.7,39.3,43.8,25.1,30.9,23.7,30.2,16.5,45.4,O35728,Cytochrome P450 4A14 OS=Mus musculus OX=10090 GN=Cyp4a14 PE=1 SV=1,15
11.4,9.8,13.1,13.3,10.3,16,15.8,7.3,12,11.6,,,,,,,,,,,O35972,"39S ribosomal protein L23, mitochondrial OS=Mus musculus OX=10090 GN=Mrpl23 PE=1 SV=1",34
121.3,81.8,105.9,147.9,98.7,133.4,129.6,86.4,105.5,95.7,335,316.6,540.1,402.5,400,381.5,366.1,300,251.7,421.9,P56391,Cytochrome c oxidase subunit 6B1 OS=Mus musculus OX=10090 GN=Cox6b1 PE=1 SV=2,50
30.8,14.7,30.7,38.3,34.6,33.4,34.5,24.2,37.9,30.1,25.1,18.6,34.4,30.7,26.9,27.9,24.6,28.1,24.9,28.7,O88952,Protein lin-7 homolog C OS=Mus musculus OX=10090 GN=Lin7c PE=1 SV=2,11
58.9,36.7,70.9,68.3,90.8,62,63.5,59.2,64.6,63.5,22.6,18.4,41.2,27.4,31.3,27,20.3,25.5,18,30.7,Q921H8,"3-ketoacyl-CoA thiolase A, peroxisomal OS=Mus musculus OX=10090 GN=Acaa1a PE=1 SV=1",36
28.6,20.4,31.3,32.1,27,31.9,33.6,22.7,34.8,25.8,38.2,32.8,50.4,34.3,34.9,38.4,32.9,31.7,29.9,45.1,Q7TNG5,Echinoderm microtubule-associated protein-like 2 OS=Mus musculus OX=10090 GN=Eml2 PE=1 SV=1,9
194.9,97,111.4,287.3,115.1,200.8,229.3,150.5,129.7,149.3,98.3,105.4,193.5,119.2,120.3,114.4,89.8,94,58.8,130.3,Q4LDG0,Bile acyl-CoA synthetase OS=Mus musculus OX=10090 GN=Slc27a5 PE=1 SV=2,24
36,26.5,30.8,44.8,40.2,41,39.8,39,35.2,49.8,,,,,,,,,,,P14106,Complement C1q subcomponent subunit B OS=Mus musculus OX=10090 GN=C1qb PE=1 SV=2,8
42.2,29.3,46.3,47.8,51.4,45.4,49.4,33.7,43.4,36.1,72.4,65.4,111.4,87.1,95.5,95.1,68.8,72.4,75,99,P70318,Nucleolysin TIAR OS=Mus musculus OX=10090 GN=Tial1 PE=1 SV=1,7
77.7,47.5,79.3,83.3,71.6,80.1,75.8,58.8,66.3,64.3,101,80.2,153,119.5,96.5,119.9,80.9,85.2,83,148.1,Q99JY3,GTPase IMAP family member 4 OS=Mus musculus OX=10090 GN=Gimap4 PE=1 SV=2,30
69.4,53.9,72.5,85.7,90.1,96.2,93.3,68.7,60.7,83.1,142.3,129.9,178.8,177.7,172,152,136.8,143.6,100.8,186.8,O35678,Monoglyceride lipase OS=Mus musculus OX=10090 GN=Mgll PE=1 SV=1,44
163.7,100.3,152,159.2,163,166.9,152.8,130.9,159.6,138.8,69,68.2,85.6,78.5,75.1,79.9,59.6,56.3,55.7,86.8,Q8VC28,Aldo-keto reductase family 1 member C13 OS=Mus musculus OX=10090 GN=Akr1c13 PE=1 SV=2,24
28.6,23.3,33.8,25.1,23.8,30.3,30.6,17.9,32.5,26.4,23.7,8.4,22.6,28,26.1,19.8,27.9,26,32.3,40,O35403,Amine sulfotransferase OS=Mus musculus OX=10090 GN=Sult3a1 PE=2 SV=1,13
42.3,30.7,70.1,43.5,42.4,39.8,46,35.4,47.2,43,89.7,88.2,114.6,108.2,118.6,121.5,91.7,100.6,85.1,135.3,Q7TNG8,"Probable D-lactate dehydrogenase, mitochondrial OS=Mus musculus OX=10090 GN=Ldhd PE=1 SV=1",35
75.3,40.4,63.9,66.6,77.9,79.1,76.2,59.9,79.5,67.4,84.3,78.2,99.1,76.2,84.1,77.7,71.1,76.7,62.3,93.9,Q9CZ44,NSFL1 cofactor p47 OS=Mus musculus OX=10090 GN=Nsfl1c PE=1 SV=1,30
28.8,15.8,37.6,35.8,32.3,27.8,31.2,23.4,33.9,28,33.9,29.9,57.9,42.5,51.3,50.4,33.7,42.6,39.9,62.1,P39061,Collagen alpha-1(XVIII) chain OS=Mus musculus OX=10090 GN=Col18a1 PE=1 SV=4,2
194.8,123.2,339.4,341.6,252.9,296,282.2,194.3,185.8,213.1,139.9,123,239,193.2,229.6,235.7,172.3,174.1,119.5,220.7,Q99PL5,Ribosome-binding protein 1 OS=Mus musculus OX=10090 GN=Rrbp1 PE=1 SV=2,9
66.9,47,45.5,52.6,35.6,62.3,34.8,37.8,32.2,38.4,50.4,48.8,57.5,56.8,62.2,54.3,44.7,46.6,44.4,66.4,Q9JIK9,"28S ribosomal protein S34, mitochondrial OS=Mus musculus OX=10090 GN=Mrps34 PE=1 SV=1",18
84.1,49.9,92.2,105.1,99.6,104.6,100.1,74.5,72.2,83.8,79.7,86.3,155.1,134,114.3,118.6,100.8,86.9,71.7,121.3,P28843,Dipeptidyl peptidase 4 OS=Mus musculus OX=10090 GN=Dpp4 PE=1 SV=3,18
55.3,35.8,36.9,94,47.4,70.5,57.7,44,43.3,59.5,39.3,46.1,75.7,67.2,50.8,57.6,41,50.3,31,62.1,O88967,ATP-dependent zinc metalloprotease YME1L1 OS=Mus musculus OX=10090 GN=Yme1l1 PE=1 SV=1,3
89.8,51.3,56.5,113.6,56.4,79.2,78.6,62.8,46.2,59.3,40.8,47,66.5,52.3,49.6,46,37.1,48.2,34.3,59.2,Q6TCG2,Membrane progesterone receptor epsilon OS=Mus musculus OX=10090 GN=Paqr9 PE=1 SV=2,12
139.8,77.5,105.6,109.3,108.7,149.5,124.3,110.1,85.3,121.8,64.2,60.9,80.5,70.8,70.8,72.6,66.1,63.5,45.8,90,Q76MZ3,Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform OS=Mus musculus OX=10090 GN=Ppp2r1a PE=1 SV=3,19
128.9,99,80.8,165.3,117.1,159.2,134.9,119.5,102.6,145.7,72.3,88.7,92.9,95.5,73,89.2,69.1,80.6,41.6,96.4,Q02013,Aquaporin-1 OS=Mus musculus OX=10090 GN=Aqp1 PE=1 SV=3,11
145.8,89.1,162.4,148,156.5,150.6,167.8,119.6,139.4,130,118.1,98.6,155.7,123.7,139.2,132.2,115.7,111.5,106.8,150,Q99KJ8,Dynactin subunit 2 OS=Mus musculus OX=10090 GN=Dctn2 PE=1 SV=3,23
49.2,26.6,55.2,59.8,46.9,51.3,47.6,40.8,43.8,40.6,36.7,38.5,52.6,34.6,51.6,38.4,38,36.7,25.5,52.7,Q9EPK7,Exportin-7 OS=Mus musculus OX=10090 GN=Xpo7 PE=1 SV=3,7
65,45.5,79.8,116.4,75.6,78.4,75,66.8,71.9,67,,,,,,,,,,,Q62230,Sialoadhesin OS=Mus musculus OX=10090 GN=Siglec1 PE=1 SV=2,2
111.8,71.2,71.6,174.7,97.5,127.2,138.7,104.1,94.2,108,122.2,112.9,148.5,156.6,127.6,130.5,89.5,118.6,84.2,140.6,Q9Z0X1,"Apoptosis-inducing factor 1, mitochondrial OS=Mus musculus OX=10090 GN=Aifm1 PE=1 SV=1",20
62.6,37.6,67.9,79.3,66.2,64.8,63.6,53.8,59.4,64.5,41.1,43.3,69,49.1,58.6,61.7,41.5,50.9,40,74.5,P35922,Synaptic functional regulator FMR1 OS=Mus musculus OX=10090 GN=Fmr1 PE=1 SV=1,8
48.8,35.8,25.6,89.3,30.7,50.5,52.4,34.2,26.9,31.7,47.9,55.3,83.7,66.5,50.9,48.4,45.2,55.6,31.9,68.5,P50285,Dimethylaniline monooxygenase [N-oxide-forming] 1 OS=Mus musculus OX=10090 GN=Fmo1 PE=1 SV=1,18
28.8,18.2,35.5,35.6,35.2,35.3,32.5,27.7,33.2,31.6,13,11.6,21.9,17.1,22.6,15,11.9,12.9,13.1,21.2,Q5ND34,WD repeat-containing protein 81 OS=Mus musculus OX=10090 GN=Wdr81 PE=1 SV=2,1
125.8,87.5,142.2,142.1,108,144.6,155.6,117.5,103,116.2,85.5,63.5,88.9,89.2,107.1,88.9,58.5,69.4,54.3,96.8,O35660,Glutathione S-transferase Mu 6 OS=Mus musculus OX=10090 GN=Gstm6 PE=1 SV=4,30
62.3,35.5,45.7,57.6,48,59.6,60.9,43.4,36.6,44.3,16.3,15.2,29.2,20.9,25.2,24.2,15.1,19.2,17.2,24.8,Q9WUL7,ADP-ribosylation factor-like protein 3 OS=Mus musculus OX=10090 GN=Arl3 PE=1 SV=1,21
19.8,9.3,22,18.3,18,20.8,23.6,14.1,20.5,17.5,15.2,11.7,21,14.7,15.3,20,16.5,11,13.1,23.3,Q61207,Prosaposin OS=Mus musculus OX=10090 GN=Psap PE=1 SV=2,6
211.2,123,155,196.2,166.6,181.1,186.5,164.4,163.5,190.5,24.8,21.3,39.7,27.1,34.7,28.4,18.2,25.9,24.1,32.3,P40124,Adenylyl cyclase-associated protein 1 OS=Mus musculus OX=10090 GN=Cap1 PE=1 SV=4,20
228.8,122.7,290.5,248.3,215.7,210.8,229.6,171.8,239.7,193.4,123.4,115.3,249.2,176.9,205.8,219.7,156.5,172.9,157,216.4,Q91ZX7,Prolow-density lipoprotein receptor-related protein 1 OS=Mus musculus OX=10090 GN=Lrp1 PE=1 SV=1,12
41.6,21.3,28.2,76.7,27.6,48.2,47.2,35.1,30.3,43.8,26.7,23.9,35.1,32.2,30.1,29.7,24.2,25,12.4,36.3,Q9WUQ2,Prolactin regulatory element-binding protein OS=Mus musculus OX=10090 GN=Preb PE=1 SV=1,9
136.2,81.3,123.6,144.8,133.5,150.8,147.7,130.7,160.8,145,92.9,75.8,108.9,103,100.3,111.3,68.5,98.5,81.5,127.8,Q8C5H8,"NAD kinase 2, mitochondrial OS=Mus musculus OX=10090 GN=Nadk2 PE=1 SV=2",28
65,53.4,54.8,69.2,81.7,70.1,77.2,67.8,83.2,73.9,19.7,20.5,27.9,23.5,22.4,20.4,14.5,17,15.7,25.9,Q6P8I4,PEST proteolytic signal-containing nuclear protein OS=Mus musculus OX=10090 GN=Pcnp PE=1 SV=1,12
68.4,39.4,54.9,74.8,61.7,65.4,91.4,72,68.4,70.9,60.1,44.5,85,61.8,63.8,78.5,68.4,59.2,52.4,85.8,P07356,Annexin A2 OS=Mus musculus OX=10090 GN=Anxa2 PE=1 SV=2,26
,,,,,,,,,,28.3,26.6,37.1,26.3,27.2,19,20.1,27.9,18.7,29.2,Q8R4R6,Nucleoporin NUP35 OS=Mus musculus OX=10090 GN=Nup35 PE=1 SV=2,9
31.8,16.5,29.2,37.7,32.1,29.8,34.6,22.9,39.7,26.8,10.8,11.3,16.2,14.4,16.1,14.3,9.3,12.1,16.5,20.8,P40630,"Transcription factor A, mitochondrial OS=Mus musculus OX=10090 GN=Tfam PE=1 SV=2",7
46.5,28.6,66.5,101.8,74.8,68.9,68.4,54.6,63.2,57,26.7,18.7,34.3,27.5,30.4,36.5,17.1,26.7,22.4,36.3,E9Q555,E3 ubiquitin-protein ligase RNF213 OS=Mus musculus OX=10090 GN=Rnf213 PE=1 SV=2,4
33.6,20.3,34.8,39.2,27.3,36.4,32.9,34.5,47.1,35.1,34,29.8,43.3,36.5,44.5,38.7,28,33.2,33.7,43.5,P56213,FAD-linked sulfhydryl oxidase ALR OS=Mus musculus OX=10090 GN=Gfer PE=1 SV=2,19
88.6,61.2,121.4,102.8,111.4,96.7,113.3,66.5,85.1,78.7,104.7,96.5,181.3,114.6,155.7,148.9,105.9,82.3,105.5,133.1,P53996,Cellular nucleic acid-binding protein OS=Mus musculus OX=10090 GN=Cnbp PE=1 SV=2,13
28.9,15.6,31.9,30.6,25.7,29.3,31.9,24.6,27.8,24,63.1,54.6,89.7,73.6,81.1,96.8,47.4,64.3,58,103.8,Q3UM45,Protein phosphatase 1 regulatory subunit 7 OS=Mus musculus OX=10090 GN=Ppp1r7 PE=1 SV=2,24
34.4,19.5,31.4,44.8,27.2,41.7,38.4,31.7,36.2,32.6,51.3,41.4,57.6,45.9,57.5,50.6,55.4,47,43.9,68.4,P70266,"6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 1 OS=Mus musculus OX=10090 GN=Pfkfb1 PE=1 SV=2",9
198,100.5,197.6,211.4,196,211.6,196.4,153.8,167.6,155.7,78.2,66.1,126.4,85.1,93,91.8,74.6,75,66.1,102.4,P17427,AP-2 complex subunit alpha-2 OS=Mus musculus OX=10090 GN=Ap2a2 PE=1 SV=2,24
,,,,,,,,,,59.4,56.6,100,73.9,96.8,93.2,59.2,66.1,66.9,91.2,Q9CQG2,RNA N6-adenosine-methyltransferase METTL16 OS=Mus musculus OX=10090 GN=Mettl16 PE=1 SV=1,4
369.8,252.2,533,485.6,432.3,441.4,436.4,344.2,414.7,341,138.6,131.4,219.2,152.1,180.9,186.4,128,133.4,128.3,204.4,Q61292,Laminin subunit beta-2 OS=Mus musculus OX=10090 GN=Lamb2 PE=1 SV=2,2
81,55.3,88.7,91,89.7,94.1,106.8,68.8,95.9,82.9,121.2,110.2,192.5,123.8,159.8,168.6,112.7,124.2,121.2,175.4,Q91X91,Nicotinate-nucleotide pyrophosphorylase [carboxylating] OS=Mus musculus OX=10090 GN=Qprt PE=1 SV=1,29
43.1,23.6,41,51.7,42.9,46.8,41.8,41,49.3,39.7,72.6,70.4,82.3,89.3,85.9,66.8,65,58.5,50.6,83.1,Q91X52,L-xylulose reductase OS=Mus musculus OX=10090 GN=Dcxr PE=1 SV=2,29
33.2,30.3,44.2,46.9,38.5,37.6,46,39.4,43.8,38.3,81.7,36.7,94.1,65.9,63.9,88.5,67.4,62.6,42.4,83.4,Q04447,Creatine kinase B-type OS=Mus musculus OX=10090 GN=Ckb PE=1 SV=1,28
62.7,53.9,79.3,100.1,65.9,66.1,62.4,58.6,53.9,55.8,28.1,31.7,62.7,39.6,39.1,38.2,26.1,32.9,25.6,46,Q8CIB5,Fermitin family homolog 2 OS=Mus musculus OX=10090 GN=Fermt2 PE=1 SV=1,13
83.6,44.1,70.2,73.2,74.7,80.4,71.6,57.9,70.4,62.8,80.7,74.3,87.4,94.1,108.6,85,86.3,69.6,76.5,100.8,Q8CI75,DIS3-like exonuclease 2 OS=Mus musculus OX=10090 GN=Dis3l2 PE=1 SV=1,3
17,6.3,21.7,23.2,20,23.1,19.2,11.1,21.1,18.1,70.3,63.2,104.7,86.6,95.3,101.2,72.2,79.8,75.9,115.2,P01887,Beta-2-microglobulin OS=Mus musculus OX=10090 GN=B2m PE=1 SV=2,27
38.6,26.3,40.9,55.2,36.2,38.1,30.1,26.5,20.9,31.4,31.7,35.3,62.6,39.7,41.5,44.7,27.3,38,24.6,52.4,Q80WC7,Arf-GAP domain and FG repeat-containing protein 2 OS=Mus musculus OX=10090 GN=Agfg2 PE=1 SV=1,8
,,,,,,,,,,34.2,27.7,49.8,33.7,39.6,43.7,27.8,30.2,24.6,39.4,Q8C0E2,Vacuolar protein sorting-associated protein 26B OS=Mus musculus OX=10090 GN=Vps26b PE=1 SV=1,7
16.8,29.5,13.8,15.8,15.8,132.4,69.9,59.3,15.2,69,240.6,25.2,105.5,41.5,27.1,31.1,29.2,49.8,17.3,63.3,Q9CQC2,Colipase OS=Mus musculus OX=10090 GN=Clps PE=1 SV=1,23
217.7,117.3,213.9,238.5,232.9,240.5,228.7,181.3,212.9,205.1,242.7,209.6,332.5,237.5,290,278.9,213.1,247.7,189.3,315.5,P80317,T-complex protein 1 subunit zeta OS=Mus musculus OX=10090 GN=Cct6a PE=1 SV=3,20
28.2,15.1,24.3,28.5,23.6,25.3,26.7,25.7,23.4,23.2,32.1,30,41,30.5,41.7,37.1,28.2,30.9,27.5,43,Q8CAK1,"Putative transferase CAF17 homolog, mitochondrial OS=Mus musculus OX=10090 GN=Iba57 PE=1 SV=1",9
106.7,69.5,144.6,157,134.6,146.7,123.4,109.8,125.8,133.2,12.5,12,17.4,12.2,17.6,16.1,12,11.3,10.8,18.9,O08582,GTP-binding protein 1 OS=Mus musculus OX=10090 GN=Gtpbp1 PE=1 SV=2,9
10.4,6,12.3,9.8,13,10.6,13.1,8.3,11.6,12.9,,,,,,,,,,,Q9R1C7,Pre-mRNA-processing factor 40 homolog A OS=Mus musculus OX=10090 GN=Prpf40a PE=1 SV=1,4
114.5,77.1,141.2,118.8,116.3,109.4,130.9,87,111.4,101,107.6,99.7,123.8,105.4,117.5,120.2,86.2,95.3,82.9,120.1,Q60692,Proteasome subunit beta type-6 OS=Mus musculus OX=10090 GN=Psmb6 PE=1 SV=3,21
10.7,10.8,10.3,21.3,13.7,13.5,11.7,8.7,10.1,9.8,36.4,28.8,47.3,30.9,24.6,38.3,66.5,43.2,26.7,46.1,P62141,Serine/threonine-protein phosphatase PP1-beta catalytic subunit OS=Mus musculus OX=10090 GN=Ppp1cb PE=1 SV=3,17
